,horario,quantidade
0,00:00,0.0
1,00:10,0.0
2,00:20,0.0
3,00:30,0.0
4,00:40,0.0
5,00:50,0.0
6,01:00,0.0
7,01:10,0.0
8,01:20,0.0
9,01:30,0.0
10,01:40,0.0
11,01:50,0.0
12,02:00,0.0
13,02:10,0.0
14,02:20,0.0
15,02:30,0.0
16,02:40,0.0
17,02:50,0.0
18,03:00,0.0
19,03:10,0.0
20,03:20,0.0
21,03:30,0.0
22,03:40,0.0
23,03:50,0.0
24,04:00,0.0
25,04:10,0.0
26,04:20,0.0
27,04:30,0.0
28,04:40,0.0
29,04:50,0.0
30,05:00,0.0
31,05:10,0.0
32,05:20,0.0
33,05:30,0.0
34,05:40,0.0
35,05:50,0.0
36,06:00,0.0
37,06:10,0.0
38,06:20,0.0
39,06:30,0.0
40,06:40,0.0
41,06:50,0.0
42,07:00,0.0
43,07:10,0.0
44,07:20,0.0
45,07:30,0.0
46,07:40,0.0
47,07:50,0.0
48,08:00,0.0
49,08:10,0.0
50,08:20,0.0
51,08:30,0.0
52,08:40,0.0
53,08:50,0.0
54,09:00,0.0
55,09:10,0.0
56,09:20,0.0
57,09:30,0.0
58,09:40,0.0
59,09:50,0.0
60,10:00,0.0
61,10:10,0.0
62,10:20,0.0
63,10:30,0.0
64,10:40,0.0
65,10:50,0.0
66,11:00,0.0
67,11:10,0.0
68,11:20,0.0
69,11:30,0.0
70,11:40,0.0
71,11:50,0.0
72,12:00,24.166666666666664
73,12:10,24.166666666666664
74,12:20,24.166666666666664
75,12:30,24.166666666666664
76,12:40,24.166666666666664
77,12:50,24.166666666666664
78,13:00,0.0
79,13:10,0.0
80,13:20,0.0
81,13:30,0.0
82,13:40,0.0
83,13:50,0.0
84,14:00,0.0
85,14:10,0.0
86,14:20,0.0
87,14:30,0.0
88,14:40,0.0
89,14:50,0.0
90,15:00,0.0
91,15:10,0.0
92,15:20,0.0
93,15:30,0.0
94,15:40,0.0
95,15:50,0.0
96,16:00,0.0
97,16:10,0.0
98,16:20,0.0
99,16:30,0.0
100,16:40,0.0
101,16:50,0.0
102,17:00,5.5
103,17:10,5.5
104,17:20,5.5
105,17:30,47.5
106,17:40,47.5
107,17:50,47.5
108,18:00,49.83333333333333
109,18:10,49.83333333333333
110,18:20,49.83333333333333
111,18:30,7.833333333333329
112,18:40,7.833333333333329
113,18:50,7.833333333333329
114,19:00,0.0
115,19:10,0.0
116,19:20,0.0
117,19:30,0.0
118,19:40,0.0
119,19:50,0.0
120,20:00,0.0
121,20:10,0.0
122,20:20,0.0
123,20:30,0.0
124,20:40,0.0
125,20:50,0.0
126,21:00,0.0
127,21:10,0.0
128,21:20,0.0
129,21:30,0.0
130,21:40,0.0
131,21:50,0.0
132,22:00,0.0
133,22:10,0.0
134,22:20,0.0
135,22:30,0.0
136,22:40,0.0
137,22:50,0.0
138,23:00,0.0
139,23:10,0.0
140,23:20,0.0
141,23:30,0.0
142,23:40,0.0
143,23:50,0.0
